# x	Sen(x)	-Sen(x)
10.9688	-0.9996	0.9996
10.9814	-0.9999	0.9999
10.9940	-1.0000	1.0000
11.0066	-0.9999	0.9999
11.0192	-0.9997	0.9997
11.0317	-0.9993	0.9993
11.0443	-0.9988	0.9988
11.0569	-0.9981	0.9981
11.0695	-0.9973	0.9973
11.0821	-0.9963	0.9963
11.0946	-0.9951	0.9951
11.1072	-0.9938	0.9938
11.1198	-0.9923	0.9923
11.1324	-0.9907	0.9907
11.1449	-0.9889	0.9889
11.1575	-0.9869	0.9869
11.1701	-0.9848	0.9848
11.1827	-0.9825	0.9825
11.1953	-0.9801	0.9801
11.2078	-0.9776	0.9776
11.2204	-0.9748	0.9748
11.2330	-0.9719	0.9719
11.2456	-0.9689	0.9689
11.2582	-0.9657	0.9657
11.2707	-0.9624	0.9624
11.2833	-0.9589	0.9589
11.2959	-0.9552	0.9552
11.3085	-0.9514	0.9514
11.3211	-0.9475	0.9475
11.3336	-0.9434	0.9434
11.3462	-0.9392	0.9392
11.3588	-0.9348	0.9348
11.3714	-0.9302	0.9302
11.3839	-0.9255	0.9255
11.3965	-0.9207	0.9207
11.4091	-0.9157	0.9157
11.4217	-0.9106	0.9106
11.4343	-0.9053	0.9053
11.4468	-0.8999	0.8999
11.4594	-0.8943	0.8943
11.4720	-0.8886	0.8886
11.4846	-0.8828	0.8828
11.4972	-0.8768	0.8768
11.5097	-0.8707	0.8707
11.5223	-0.8644	0.8644
11.5349	-0.8581	0.8581
11.5475	-0.8515	0.8515
11.5601	-0.8449	0.8449
11.5726	-0.8381	0.8381
11.5852	-0.8311	0.8311
11.5978	-0.8241	0.8241
11.6104	-0.8169	0.8169
11.6229	-0.8096	0.8096
11.6355	-0.8021	0.8021
11.6481	-0.7945	0.7945
11.6607	-0.7868	0.7868
11.6733	-0.7790	0.7790
11.6858	-0.7711	0.7711
11.6984	-0.7630	0.7630
11.7110	-0.7548	0.7548
11.7236	-0.7465	0.7465
11.7362	-0.7381	0.7381
11.7487	-0.7295	0.7295
11.7613	-0.7209	0.7209
11.7739	-0.7121	0.7121
11.7865	-0.7032	0.7032
11.7991	-0.6942	0.6942
11.8116	-0.6851	0.6851
11.8242	-0.6759	0.6759
11.8368	-0.6666	0.6666
11.8494	-0.6571	0.6571
11.8619	-0.6476	0.6476
11.8745	-0.6380	0.6380
11.8871	-0.6282	0.6282
11.8997	-0.6184	0.6184
11.9123	-0.6084	0.6084
11.9248	-0.5984	0.5984
11.9374	-0.5883	0.5883
11.9500	-0.5781	0.5781
11.9626	-0.5678	0.5678
11.9752	-0.5574	0.5574
11.9877	-0.5469	0.5469
12.0003	-0.5363	0.5363
12.0129	-0.5256	0.5256
12.0255	-0.5149	0.5149
12.0381	-0.5041	0.5041
12.0506	-0.4932	0.4932
12.0632	-0.4822	0.4822
12.0758	-0.4711	0.4711
12.0884	-0.4600	0.4600
12.1009	-0.4488	0.4488
12.1135	-0.4375	0.4375
12.1261	-0.4262	0.4262
12.1387	-0.4148	0.4148
12.1513	-0.4033	0.4033
12.1638	-0.3917	0.3917
12.1764	-0.3801	0.3801
12.1890	-0.3685	0.3685
12.2016	-0.3568	0.3568
12.2142	-0.3450	0.3450
12.2267	-0.3331	0.3331
12.2393	-0.3213	0.3213
12.2519	-0.3093	0.3093
12.2645	-0.2973	0.2973
12.2771	-0.2853	0.2853
12.2896	-0.2732	0.2732
12.3022	-0.2611	0.2611
12.3148	-0.2489	0.2489
12.3274	-0.2367	0.2367
12.3399	-0.2245	0.2245
12.3525	-0.2122	0.2122
12.3651	-0.1999	0.1999
12.3777	-0.1876	0.1876
12.3903	-0.1752	0.1752
12.4028	-0.1628	0.1628
12.4154	-0.1504	0.1504
12.4280	-0.1379	0.1379
12.4406	-0.1255	0.1255
12.4532	-0.1130	0.1130
12.4657	-0.1005	0.1005
12.4783	-0.0879	0.0879
12.4909	-0.0754	0.0754
12.5035	-0.0629	0.0629
12.5161	-0.0503	0.0503
12.5286	-0.0377	0.0377
12.5412	-0.0252	0.0252
12.5538	-0.0126	0.0126
12.5664	-0.0000	0.0000
